204;arms_factory;3257.00;9.80;1584.00;3.55;0
204;arms_factory;3243.00;9.90;1586.00;6.21;0
204;arms_factory;3255.00;9.85;1583.00;2.60;0
204;industrial_complex;3259.00;9.80;1574.00;5.27;0
204;industrial_complex;3263.00;9.80;1583.00;1.05;0
204;air_base;3252.45;9.80;1579.91;5.17;0
204;bunker;3259.00;9.80;1576.00;1.55;0
204;bunker;3249.00;9.80;1582.00;4.83;0
204;bunker;3264.00;9.80;1582.00;0.61;0
204;anti_air_building;3266.00;9.80;1575.00;1.11;0
204;anti_air_building;3252.00;9.90;1586.00;2.67;0
204;synthetic_refinery;3253.00;9.80;1575.00;5.33;0
220;arms_factory;3370.00;10.35;1551.00;4.89;0
220;arms_factory;3358.00;10.50;1551.00;1.63;0
220;arms_factory;3361.00;9.93;1537.00;0.08;0
220;industrial_complex;3381.00;10.00;1540.00;1.28;0
220;industrial_complex;3353.00;10.48;1544.00;1.78;0
220;industrial_complex;3350.00;10.45;1551.00;4.80;0
220;industrial_complex;3366.00;10.55;1556.00;1.19;0
220;air_base;3369.52;10.50;1547.19;0.68;0
220;bunker;3367.00;10.35;1545.00;5.91;0
220;bunker;3363.00;10.60;1554.00;2.29;0
220;bunker;3370.00;10.03;1542.00;3.86;0
220;bunker;3353.00;10.50;1550.00;0.24;0
220;bunker;3356.00;10.57;1546.00;0.75;0
220;bunker;3364.00;10.13;1540.00;3.41;0
220;bunker;3381.00;10.00;1542.00;6.08;0
220;anti_air_building;3351.00;10.50;1548.00;2.81;0
220;nuclear_reactor;3362.00;10.50;1547.00;2.46;0
708;arms_factory;3510.00;9.57;442.00;1.89;0
708;naval_base;3501.00;9.55;455.00;1.01;0
204;radar_station;3252.00;9.80;1579.00;3.32;0
220;radar_station;3372.00;10.07;1548.00;4.00;0
204;supply_node;3249.00;9.80;1573.00;6.27;0
204;supply_node;3256.00;9.80;1577.00;2.92;0
204;supply_node;3251.00;9.90;1587.00;2.16;0
204;supply_node;3264.00;9.80;1581.00;5.10;0
204;supply_node;3272.00;9.80;1576.00;4.34;0
220;supply_node;3372.00;10.00;1540.00;2.12;0
220;supply_node;3353.00;10.50;1548.00;3.60;0
220;supply_node;3366.00;10.50;1548.00;4.30;0
220;supply_node;3362.00;10.00;1538.00;5.01;0
220;supply_node;3380.00;10.03;1542.00;1.67;0
220;supply_node;3362.00;10.60;1555.00;3.14;0
220;supply_node;3356.00;10.00;1541.00;3.07;0
6;floating_harbor;2844.87;9.50;1546.26;0.46;6446
6;floating_harbor;2848.18;9.50;1546.88;0.98;6560
6;floating_harbor;2854.00;9.50;1551.00;1.18;6598
12;floating_harbor;3178.00;9.50;1681.00;1.57;9317
13;floating_harbor;3171.00;9.50;1686.00;-3.25;83
13;floating_harbor;3176.12;9.50;1690.18;-3.73;3174
13;floating_harbor;3179.14;9.50;1690.63;-4.51;11291
14;floating_harbor;2731.21;9.50;1474.30;-4.47;542
14;floating_harbor;2730.18;9.50;1480.12;-4.12;3552
14;floating_harbor;2752.79;9.50;1463.36;-3.46;6536
14;floating_harbor;2743.40;9.50;1496.20;0.93;6572
14;floating_harbor;2758.52;9.50;1461.62;-3.84;9510
14;floating_harbor;2765.00;9.50;1496.00;0.00;9525
14;floating_harbor;2775.00;9.50;1497.00;0.00;11508
15;floating_harbor;2818.05;9.50;1520.95;0.79;485
15;floating_harbor;2790.70;9.50;1511.79;-0.24;3579
15;floating_harbor;2770.00;9.50;1506.00;1.57;6449
15;floating_harbor;2804.30;9.50;1510.79;0.24;6599
15;floating_harbor;2815.70;9.50;1519.79;-0.24;9434
15;floating_harbor;2775.18;9.50;1498.88;0.98;9550
15;floating_harbor;2799.70;9.50;1510.79;-0.24;11535
19;floating_harbor;2780.74;9.50;1414.87;-4.25;6621
19;floating_harbor;2779.36;9.50;1408.21;1.25;6777
19;floating_harbor;2769.00;9.50;1438.00;0.94;9737
19;floating_harbor;2769.00;9.50;1438.00;0.97;11565
21;floating_harbor;2901.00;9.50;1375.00;-3.14;911
21;floating_harbor;2913.88;9.50;1379.18;-2.55;3928
21;floating_harbor;2885.12;9.50;1378.18;-3.73;11834
21;floating_harbor;2881.00;9.50;1380.00;-3.14;11849
22;floating_harbor;2864.95;9.50;1379.05;-2.36;6960
22;floating_harbor;2871.13;9.50;1381.74;-2.68;9898
22;floating_harbor;2874.13;9.50;1381.05;-3.27;11877
